Date,Open,High,Low,Close,Adj Close,Volume,ndx_ma1,ndx_ma2,ndx_ma3,ndx_ma4,ndx_ma5,ndx_ma6,ndx_ma7,ndx_ma8,ndx_ma9,ndx_ma10,ndx_ma14,ndx_ma21,ndx_ma28
2020-04-09,8238.5302734375,8238.5302734375,8238.5302734375,8238.5302734375,8238.5302734375,0,8238.5302734375,8234.03515625,8172.460123697917,8149.7601318359375,8025.430078125,7960.468424479167,7892.728655133928,7882.8250732421875,7883.512261284723,7853.998046875,7747.67644391741,7603.747628348215,7824.947527204241
2020-04-13,8332.740234375,8332.740234375,8332.740234375,8332.740234375,8332.740234375,0,8332.740234375,8285.63525390625,8266.936848958334,8212.530151367188,8186.35615234375,8076.6484375,8013.650111607143,7947.7301025390625,7932.815646701389,7928.43505859375,7842.377894810268,7654.656691778274,7805.474661690848
2020-04-15,8591.9599609375,8591.9599609375,8591.9599609375,8591.9599609375,8591.9599609375,0,8591.9599609375,8462.35009765625,8387.743489583334,8348.192626953125,8288.41611328125,8253.956787109375,8150.264369419643,8085.9388427734375,8019.311197916667,7998.730078125,7916.53076171875,7683.070986793155,7805.384294782366
2020-04-16,8757.830078125,8757.830078125,8757.830078125,8757.830078125,8757.830078125,0,8757.830078125,8674.89501953125,8560.843424479166,8480.26513671875,8430.1201171875,8366.651774088541,8325.938685825893,8226.210083007812,8160.593424479167,8093.1630859375,8008.545758928572,7765.806710379465,7798.546787806919
2020-04-17,8832.41015625,8832.41015625,8832.41015625,8832.41015625,8832.41015625,0,8832.41015625,8795.1201171875,8727.400065104166,8628.735107421875,8550.694140625,8497.16845703125,8433.188685825893,8389.247619628906,8293.565646701389,8227.77509765625,8075.351492745535,7830.495279947917,7804.287859235491
2020-04-20,8726.509765625,8726.509765625,8726.509765625,8726.509765625,8726.509765625,0,8726.509765625,8779.4599609375,8772.25,8727.177490234375,8648.2900390625,8579.996744791666,8529.93150111607,8469.853820800781,8426.72119140625,8336.86005859375,8156.647181919643,7904.368117559524,7832.090715680803
2020-04-21,8403.0,8403.0,8403.0,8403.0,8403.0,0,8403.0,8564.7548828125,8653.973307291666,8679.9375,8662.3419921875,8607.408365885416,8554.711495535714,8514.065063476562,8462.425618489584,8424.349072265624,8193.360770089286,7957.438592819941,7833.188232421875
2020-04-22,8664.6298828125,8664.6298828125,8664.6298828125,8664.6298828125,8664.6298828125,0,8664.6298828125,8533.81494140625,8598.046549479166,8656.637451171875,8676.8759765625,8662.723307291666,8615.58286830357,8568.451293945312,8530.794487847223,8482.646044921876,8254.15576171875,8036.978585379465,7856.706438337053
2020-04-23,8641.5,8641.5,8641.5,8641.5,8641.5,0,8641.5,8653.06494140625,8569.7099609375,8608.909912109375,8653.6099609375,8670.97998046875,8659.69140625,8618.822509765625,8576.567816840277,8541.8650390625,8336.67075892857,8114.815731956845,7905.915370396206
2020-04-24,8786.599609375,8786.599609375,8786.599609375,8786.599609375,8786.599609375,0,8786.599609375,8714.0498046875,8697.576497395834,8623.932373046875,8644.4478515625,8675.77490234375,8687.4970703125,8675.554931640625,8637.464409722223,8597.57099609375,8418.88071986607,8173.51953125,7934.177507672991
